[2023.05.13 18:07:32.490] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:07:32.504] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:07:32.509] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:07:32.510] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:08:53.692] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:08:53.699] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:08:53.701] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:08:53.701] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:09:13.341] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:09:13.350] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:09:13.351] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:09:13.351] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:11:12.778] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:11:12.786] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:11:12.787] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:11:12.788] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:12:39.018] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 18:12:39.032] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 18:12:39.033] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 18:12:39.034] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 18:14:55.704] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
