[2023.05.18 15:50:32.465] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:50:39.705] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:50:39.721] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:50:39.723] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:50:39.725] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:50:39.726] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:50:40.040] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:50:40.052] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:50:40.055] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:50:40.057] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:50:40.058] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:50:52.738] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:50:52.750] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:50:52.753] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:50:52.755] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:50:52.756] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:50:59.634] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:50:59.646] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:50:59.647] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:50:59.649] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:50:59.650] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:51:07.602] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:51:07.612] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:51:07.614] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:51:07.614] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:51:07.615] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:51:13.931] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:51:13.943] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
