[2023.05.19 10:56:19.643] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:56:19.644] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:56:19.648] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:57:27.657] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.19 10:57:27.670] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:57:27.673] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:57:27.676] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:57:27.677] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:57:27.813] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.19 10:57:27.828] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:57:27.831] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
